"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,0,0,0,3,0,0,0,0,2,1,0,0,0
0,0,0,0,0,1,0,0,0,0,2,1,2,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,2,6,2,3,1,0,1,0
0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
0,0,0,0,0,1,2,2,2,2,0,0,1,0,0
0,0,0,0,0,1,0,3,0,1,1,1,0,0,0
0,0,0,0,0,0,1,10,10,9,1,2,2,0,3
0,0,0,0,0,0,1,5,6,7,12,5,8,15,7
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,0,1,0,0,1,1
0,0,0,0,0,0,4,5,0,2,1,0,0,1,0
0,0,0,0,0,0,2,7,5,4,4,2,0,1,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,4,0,4,0,0,0,1,0
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,2,0,0,4,0,0
0,0,0,0,0,0,1,0,0,0,2,1,0,1,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,1,10,6,3,1,13
0,0,0,0,0,0,1,0,7,0,0,2,1,1,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,5,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,1,2,0,2,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,3,0,0,0,0
0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,1,1,6,7,2,20,6,5
0,0,0,0,0,0,3,5,4,3,8,4,1,3,0
0,0,0,0,0,0,3,1,6,8,15,9,15,11,11
0,0,0,0,0,0,1,2,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,5,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,4,2,1,0,0,1
0,0,0,0,0,0,1,2,0,1,1,0,3,1,1
0,0,0,0,0,0,1,2,1,0,1,0,0,0,0
0,0,0,0,0,0,2,0,1,0,0,1,0,0,0
0,0,0,0,0,0,4,0,2,1,0,1,2,1,0
0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,2,7,1,17,7,8,7,2,0
0,0,0,0,0,0,2,2,2,0,2,0,0,0,1
0,0,0,0,0,0,2,5,12,11,2,1,0,0,2
0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
0,0,0,0,0,0,0,6,0,4,5,11,5,1,1
0,0,0,0,0,0,0,1,1,1,1,2,0,0,0
0,0,0,0,0,0,0,1,0,2,4,3,2,1,0
0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,0,0,0,0,2,7,15,2,0,0,0,1
0,0,0,0,0,0,0,2,4,1,8,5,17,7,18
0,0,0,0,0,0,0,1,2,2,16,6,17,6,9
0,0,0,0,0,0,0,1,0,0,0,0,1,3,0
0,0,0,0,0,0,0,1,0,0,1,1,2,0,2
0,0,0,0,0,0,0,1,1,0,0,2,0,1,0
0,0,0,0,0,0,0,2,1,8,6,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,2,2,1,0,1,1
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,3,0,1,0
